Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
Mass Transit Street Theater,P.O. Box 347,Bronx,NY,10468,(718) 882-2454,Theater,Bronx Council District #14,Bronx Community Board #7,Bronx
"MasterVoices, Inc.",115 East 57th Street,New York,NY,10022,(646) 202-9623,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
"Maysles Institute, Inc.",343 Lenox Avenue,New York,NY,10027,(212) 582-6050 x214,Film/Video/Audio,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
McDougald Jackson Leake Community Development Corporation,P.O. Box 488,Bronx,NY,10453,(347) 409-0288,"Multi-Discipline, Performing",Bronx Council District #14,Bronx Community Board #5,Bronx
"Medicine Show Theatre Ensemble, Inc.","549 West 52nd Street, Third Floor",New York,NY,10019,(212) 262-4216,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Meet the Composer, Inc.","90 John Street, Ste. 312",New York,NY,10038,(212) 645-6949 x111,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Megan Jill Paznik,"275 West 22nd Street, Suite 2A",New York,NY,10011,(212) 924-3622,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Melodia Women's Choir of NYC, Inc.","446 West 47th Street, Apt. 1B",New York,NY,10036,(212) 757-2945,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Melting Pot Theatre, Inc.","2444 Broadway, Suite 231",New York,NY,10024,(212) 874-7210 x2,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Mencius Society for the Arts, Inc.",243 Grand St. 2F,New York,NY,10002,(212) 431-7373,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Mendelssohn Glee Club,"393 West End Avenue, Apt. 8C",New York,NY,10024,(845) 525-0100,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Mercantile Library Association of the City of New York,17 East 47th Street,New York,NY,10017,(212) 755-6710,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Mercy Corps,75 Broad Street,New York,NY,10004,(212) 537-0508,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Messenger Theatre Corp,617 W. 190th St. #2B,New York,NY,10040,(646) 522-5300,Theater,Manhattan Council District #10,Manhattan Community Board #12,Queens
"Metropolis Ensemble, Inc.",34-33 84th Street,Queens,NY,11372,(917) 930-6106,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Metropolitan Historic Structures Association,232 East 11th Street,New York,NY,10003,(718) 343-8830,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Metropolitan Museum of Art,1000 Fifth Avenue,New York,NY,10028,(212) 879-5500,Visual Arts,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Metropolitan Opera Association, Inc.",30 Lincoln Center,New York,NY,10023,(212) 870-7647,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Metropolitan Opera Guild, Inc.","70 Lincoln Center Plaza, Sixth Floor",New York,NY,10023,(212) 769-7069,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Metropolitan Waterfront Alliance,"241 Water Street, 3rd Floor",New York,NY,10038,(212) 935-9831,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Mexican American Symphony Orchestra,30 West 63rd Street,New York,NY,10023,(212) 564-0508,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Mexicanos Unidos de Queens, Inc.",94-28 32nd Avenue,East Elmhurst,NY,11369,(718) 779-8508,Dance,Queens Council District #21,Queens Community Board #3,Queens
"MiShinnah Productions, Inc",435 E. 76th Street #3D,New York,NY,10021,(917) 664-9696,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Michael Chekhov Theatre Company,"161 Sixth Avenue, 14th Floor",New York,NY,10013,(212) 691-6969 x13,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Mid-Bronx Senior Citizens Council, Inc.",900 Grand Concourse,Bronx,NY,10451,(718) 588-8200,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #12,Bronx Community Board #4,Bronx
"Midori Foundation, Inc.","352 Seventh Avenue, Ste. 301",New York,NY,10001,(212) 767-1300 x18,Music,Manhattan Council District #3,Manhattan Community Board #6,Manhattan
"Midtown Management Group, Inc.","630 Ninth Avenue, Ste. 802",New York,NY,10036,(212) 245-0710,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Migrating Forms Festival, Inc",Cooper Station,New York,NY,10276,(347) 834-7738,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Millennium Dance Company,138 west 180th street,Bronx,NY,10453,(718) 993-2555,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #14,Bronx Community Board #10,Bronx
"Millennium Film Workshop, Inc.",66 East 4th Street,New York,NY,10003,(212) 673-0090,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Mind to Move, Inc.",129 Columbia Heights,Brooklyn,NY,11201,(917) 767-6350,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Mind-Builders Creative Arts Center,333 E. 206th St,Bronx,NY,10467,(718) 652-6256 x11,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #12,Bronx
"Mint Theater Company, Inc.","311 West 43rd Street, Suite 307",New York,NY,10036,(212) 315-9434,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Mirror Theatre, Ltd.",P.O. Box 286186,New York,NY,10128-0811,(646) 688-4365,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Misnomer, Inc.","588 10th Street, Apt. 4",Brooklyn,NY,11215,(917) 602-0478,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Momenta Art, Inc.",56 Bogart Street,Brooklyn,NY,11206,(718) 218-8058,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"Monica Bill Barnes & Company, Inc.","41 Perry Street, Apt. 2A",New York,NY,10014,(917) 903-0149,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Moose Hall Theatre Company,"25 Indian Road, Studio 4G",New York,NY,10034,(212) 304-8950,Theater,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Morballet, Inc.",315 W 105th St,New York,NY,10025,(203) 313-4300,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"More Art, Inc.","71 Nassau Street, Apt. 13A",New York,NY,10038,(212) 260-7607,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Morphoses, Ltd.",800 Fifth Avenue #18B,New York,NY,10065,(212) 813-9818,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Morris-Jumel Mansion, Inc.",65 Jumel Terrace,New York,NY,10032,(212) 923-8008,Museum,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Motherhood Foundation, Inc.",401 E 84th,New York City,NY,10028,(212) 452-9816,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Movement Research, Inc.",55 Avenue C,New York,NY,10009,(212) 598-0551 x2,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Moving Theater, Inc.",P.O. Box 1449,New York,NY,10150,(917) 553-5645,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Mud Bone Collective, Inc.",P.O. Box 21167,Brooklyn,NY,11202,(718) 404-9220,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
Muller Works Foundation,"131 West 24th Street, 4th Floor",New York,NY,10011,(212) 691-3803,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Multicultural Music Group, Inc.",601 Walton Avenue,Bronx,NY,10451,(718) 884-5495,Music,Bronx Council District #17,Bronx Community Board #1,Bronx
Multicultural Youth Arts Program,82-46 234 Street,Bellerose Manor,NY,11427,(917) 414-3753,Other,Queens Council District #32,Queens Community Board #9,Queens
Municipal Art Society of New York,488 Madison Avenue,New York,NY,10022,(212) 935-3960 x232,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Museum at Eldridge Street,12 Eldridge Street,New York,NY,10002,(212) 219-0888 x203,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Museum for African Art,1280 Fifth Avenue,New York,NY,10029,(718) 784-7700 x107,Museum,Queens Council District #26,Queens Community Board #1,Queens
"Museum of African American Cinema, Inc.","163 West 125th Street, Suite 903",New York,NY,10027,(212) 749-5298,Museum,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Museum of American Finance,48 Wall Street,New York,NY,10005,(212) 908-4110,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Museum of Arts & Design,2 Columbus Circle,New York,NY,10019,(212) 956-3535 x133,Museum,Manhattan Council District #6,Manhattan Community Board #5,Manhattan
Museum of Biblical Art,1865 Broadway,New York,NY,10023,(212) 408-1236,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Museum of Chinese in the Americas,"70 Mulberry Street, 2nd Floor",New York,NY,10013,(212) 619-4785 x108,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Museum of Comic and Cartoon Art,"594 Broadway, Ste. 401",New York,NY,10012,(212) 254-3511,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Museum of Contemporary African Diasporian Arts, Inc.",80 Hanson Place,Brooklyn,NY,11217,(718) 230-0492 x113,Museum,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Museum of Food and Drink,232 East 11th Street,New York,NY,10003,(212) 228-5482,Museum,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Museum of Jewish Heritage  A Living Memorial to the Holocaust,36 Battery Place,New York,NY,10280,(646) 437-4200,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Museum of Maritime Navigation and Communication,1208 Bay Street,New York,NY,10305,(718) 594-1717,Museum,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Museum of Modern Art,11 West 53rd Street,New York,NY,10019,(212) 708-9773,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Museum of the City of New York,1220 Fifth Avenue,New York,NY,10029,(212) 534-1672,Museum,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Music Associates of New York, Ltd.",P.O. Box 604565,Bay Terrace,NY,11360,(718) 352-3995,Music,,Queens Community Board #11,Queens
"Music Before 1800, Inc.",529 West 121 Street,New York,NY,10027,(212) 666-0675,Music,Manhattan Council District #9,Manhattan Community Board #1,Manhattan
Music Forward,72 Orange Street,Brooklyn,NY,11201,(347) 457-5129,Music,Brooklyn Council District #39,Brooklyn Community Board #7,Manhattan
"Music Outreach/Learning Through Music, Inc.",677 West End Avenue,New York,NY,10025,(212) 316-2000,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Music at the Anthology, Inc.",260 West Broadway,New York,NY,10013,(212) 563-5124,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Music for Autism,401 Park Avenue,New York,NY,10016,(646) 964-6487,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
Music from China,"170 Park Row, Apt. 12D",New York,NY,10038,(212) 941-8733,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Music in the Center,"2350 Broadway, Ste. 203",New York,NY,10024,(917) 459-6527,Music,Bronx Council District #15,Bronx Community Board #6,Manhattan
"Music-Theatre Group, Inc.",20 Jay Street,Brooklyn,NY,11201,(718) 797-1145,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Musica De Camara, Inc.",1215 Fifth Avenue,New York,NY,10029,(212) 410-5612,Music,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Musica Reginae Productions, Ltd.",59-56 57th Drive,Maspeth,NY,11378,(718) 894-2517,Music,Queens Council District #19,Queens Community Board #11,Queens
"Musica Sacra of New York, Inc.",P.O. Box 974,New York,NY,10021,(212) 861-5617,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Musical Chairs Chamber Ensemble, Inc.","850 Howard Avenue, Ste. 1J",Staten Island,NY,10301,(718) 815-5786,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Musicals Tonight! Inc.,"150 West 79th Street, Ste. 9A",New York,NY,10024,(212) 362-5620,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Musicians For Harmony, Inc.","345 East 93rd Street, Ste. 12B",New York,NY,10128,(212) 996-8010,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Muslim American Society of Queens,35-13 23rd Avenue,Astoria,NY,11105,(718) 806-1146,New Media,Queens Council District #22,Queens Community Board #1,Queens
Myrtle Avenue Revitalization Project,"472 Myrtle Avenue, Second Floor",Brooklyn,NY,11205,(718) 230-1689,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"NIA Community Services Network, Inc.",6614 11th Avenue,Brooklyn,NY,11219,(718) 236-5266,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"NURTUREart Non-Profit, Inc.",56 Bogart Street,Brooklyn,NY,11206,(718) 782-7755,Visual Arts,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"NY Artists Unlimited, Inc.","212 West 14th Street, Ste. 2A",New York,NY,10011,(212) 242-6036,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
NY JAZZ Initiative,149 W. 46th Street,New York,NY,10036,(646) 395-9581,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
NY Writers Coalition,"80 Hanson Place, Apt. 603",Brooklyn,NY,11217,(718) 398-2883,Literature,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
NYC KidsFest,"61 Lenox Avenue, Apt. 5A",New York,NY,10026,(646) 229-1900,"Multi-Discipline, Performing",Manhattan Council District #9,Brooklyn Community Board #10,Manhattan
NYC SALT,214 West 29th Street,New York,NY,10001,(917) 992-6756,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Nai-Ni Chen Dance Company, Inc.","1133 Broadway, Suite 706",New York,NY,10010,(800) 650-0246,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Naked Angels, Ltd.",151 Bank St,New York,NY,10014,(212) 343-7394,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Narrows Community Theater, Inc.","97-28 Third Avenue, #527",Brooklyn,NY,11209,(718) 836-2880,Theater,Brooklyn Council District #43,Brooklyn Community Board #11,Brooklyn
National Academy of Design,1083 Fifth Avenue,New York,NY,10128,(212) 369-4880 x208,Museum,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"National Alliance for Musical Theatre, Inc.","520 Eighth Avenue, Ste. 301",New York,NY,10018,(212) 714-6668 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
National Asian American Theater Festival,"520 8th Avenue, Ste. 308",New York,NY,10018,(212) 224-0447,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"National Asian American Theatre Co., Inc.","520 Eighth Avenue, Ste. 308",New York,NY,10018,(212) 244-0447,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"National Association of Women Artists, Inc.","80 Fifth Avenue, Suite 1405",New York,NY,10011,(212) 675-1616,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
National Black Programming Consortium,68 East 131 Street,New York,NY,10037,(212) 234-8200,Film/Video/Audio,Manhattan Council District #9,Manhattan Community Board #11,Manhattan
"National Black Theatre Workshop, Inc.",2031-33 Fifth Avenue,New York,NY,10035,(212) 234-2468,Theater,Manhattan Council District #9,Manhattan Community Board #11,Manhattan
"National Black Touring Circuit, Inc.","790 Riverside Drive, Apt. 3E",New York,NY,10032,(212) 283-0974,Theater,Manhattan Council District #7,Manhattan Community Board #6,Manhattan
"National Book Foundation, Inc.",90 Broad Street,New York,NY,10004,(212) 685-0261,Literature,Manhattan Council District #1,Manhattan Community Board #1,Brooklyn
